Started at Sun Jun  5 23:35:47 2022

Testing on 12 threads with 412M iterations per run
[0] I stress you!
[3] I stress you!
[1] I stress you!
[2] I stress you!
[4] I stress you!
[6] I stress you!
[7] I stress you!
[8] I stress you!
[11] I stress you!
[5] I stress you!
[9] I stress you!
[10] I stress you!
Stressing ... !
1664	 0	1.664571	4200000000
1668	 1	1.667876	4199999000
1670	 2	1.670083	4199999000
1678	 3	1.678477	4200000000
1679	 9	1.676889	4199999000
1693	 6	1.692873	4199999000
1693	 4	1.693301	4199998000
1694	10	1.670385	4199999000
1697	 7	1.697144	4199999000
1726	 8	1.726155	4200000000
2004	 5	2.002662	4200000000
2055	11	2.055183	4199999000
3315	 4	1.622117	4200000000
3321	 2	1.651041	4200000000
3323	 1	1.654611	4199999000
3327	 0	1.662455	4199998000
3365	 3	1.686081	4199999000
3380	10	1.685373	4199998000
3429	 9	1.749495	4200000000
3431	 7	1.733481	4200000000
3443	 6	1.749924	4199999000
3529	 8	1.802955	4199999000
4027	 5	2.022484	4199996000
4137	11	2.081633	4200000000
4979	 1	1.655888	4199999000
4987	 4	1.671335	4200000000
4998	 0	1.670940	4200000000
5017	 2	1.695230	4199999000
5081	10	1.701388	4200000000
5090	 9	1.661499	4199999000
5097	 6	1.653543	4200000000
5099	 7	1.668540	4200000000
5198	 8	1.668351	4200000000
5247	 3	1.882452	4199999000
6108	11	1.970600	4199999000
6208	 5	2.181207	4200000000
6650	 1	1.671414	4200000000
6657	 4	1.669956	4199999000
6668	 0	1.669542	4200000000
6740	 6	1.643305	4200000000
6751	 2	1.733943	4200001000
6754	10	1.672934	4200001000
6768	 7	1.668643	4200000000
6871	 8	1.672688	4200000000
7036	 3	1.788716	4199999000
7084	 9	1.993177	4199999000
7784	11	1.676267	4200000000
7912	 5	1.704116	4199999000
8336	 0	1.668365	4200000000
8340	 1	1.689210	4200000000
8346	 4	1.688668	4199999000
8392	 6	1.651563	4200000000
8411	10	1.657168	4199999000
8487	 2	1.735848	4200000000
8492	 7	1.724354	4200000000
8532	 8	1.660771	4199999000
8861	 3	1.824793	4200000000
8880	 9	1.796672	4199999000
9588	11	1.803169	4199999000
9696	 5	1.782789	4200000000
9962	 6	1.569685	4200000000
9988	 0	1.651308	4200000000
10027	 4	1.680609	4200000000
10087	 1	1.747604	4200000000
10120	10	1.708822	4200000000
10137	 2	1.649828	4200000000
10195	 8	1.663419	4200000000
10417	 7	1.924258	4200000000
10723	 9	1.842476	4200000000
10837	 3	1.975849	4199999000
11274	11	1.686038	4200000000
11371	 5	1.675177	4199999000
11577	 6	1.615483	4199999000
11654	 0	1.665724	4200000000
11705	 4	1.677954	4199999000
11758	 1	1.670142	4199999000
11801	 2	1.663813	4199999000
11827	10	1.706286	4199999000
11886	 8	1.690847	4199999000
12103	 7	1.686351	4200000000
12402	 9	1.678622	4199665000
12632	 3	1.794884	4179022000
12961	11	1.686479	4200000000
13047	 5	1.675570	4200000000
13254	 6	1.676170	4199999000
13328	 0	1.673749	4200000000
13440	 1	1.681768	4200000000
13441	 4	1.736434	4200000000
13470	 2	1.669231	4200000000
13557	 8	1.669923	4200000000
13815	10	1.988048	4199999000
13827	 7	1.724026	4199999000
14355	 3	1.722486	4199999000
14511	 9	2.108850	4199999000
14679	11	1.717822	4200000000
14731	 5	1.684081	4199999000
15008	 0	1.679935	4200000000
15066	 6	1.812526	4199999000
15119	 2	1.649084	4200000000
15136	 1	1.695706	4200001000
15171	 4	1.729819	4199999000
15202	 8	1.645234	4200000000
15492	 7	1.664757	4199342000
15571	10	1.755708	4200000000
16034	 3	1.678925	4183973000
16147	 9	1.635752	4200000000
16391	11	1.712124	4200000000
16398	 5	1.667022	4199999000
16693	 0	1.684984	4195388000
16779	 2	1.659389	4199999000
16819	 1	1.683084	4200000000
16851	 8	1.648431	4200000000
16927	 4	1.755738	4199999000
17036	 6	1.970102	4199999000
17183	 7	1.690906	4199999000
17278	10	1.706311	4199998000
17701	 3	1.666570	4199999000
17961	 9	1.814035	4195751000
18079	 5	1.680959	4199151000
18107	11	1.715390	4200000000
18362	 0	1.668284	4200000000
18431	 2	1.651800	4200000000
18503	 1	1.684332	4200000000
18686	 4	1.758529	4196721000
18696	 8	1.845413	4199999000
18758	 6	1.721766	4199999000
18970	10	1.692474	4200000000
